stock_id,stock_name,event_type,event_subtype,event_title,source_name,source_url,announcement_datetime,event_effective_start_date,event_effective_end_date,signal_usable_date,known_before_signal_close,post_close_pre_next_open,raw_payload_hash
6125,廣運,material_info,第8款,本公司發言人異動,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 17:21:13,,,2026-07-02,false,true,sha256:ed6cbd5c3e7da8975c7a70eb8bde87cf5520fb3472bffc6a246f441f6c05ef7c
6125,廣運,material_info,第8款,本公司永續發展委員會副主任委員異動,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 17:21:26,,,2026-07-02,false,true,sha256:e37ca1c8ebe7ed45d959969318d054f2ce5abec67f421190adaf2bb25b2d5910
2428,興勤,material_info,第23款,代子公司東莞為勤電子有限公司依公開發行公司資金貸與及 背書保證處理準則第二十二條第一項第三款規定公告,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 18:06:46,,,2026-07-02,false,true,sha256:0b575e1d194cf9ab291e32b121a0f1162713accdd9985eff8a06cd675d5c4f9b
6230,尼得科超眾,material_info,第6款,公告本公司法人董事尼得科株式會社改派代表人,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 18:09:22,,,2026-07-02,false,true,sha256:939834f60b7d8f2b953d5749ea45f1396cc3eca98fe0bd99e96457bae998a5d6
6230,尼得科超眾,material_info,第6款,公告本公司董事長異動,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 18:09:51,,,2026-07-02,false,true,sha256:c15f4ad639dfa1f45e18243799c16b61b4a71cd1234607904039c32611b39aca
2474,可成,material_info,第20款,代子公司益釧股份有限公司公告一年內累積取得邦特生物科技股份有限公司 普通股股票達新台幣三億元以上,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 18:12:51,,,2026-07-02,false,true,sha256:fe44f05cf5acfb4e2a1305100971dd23d3ecae2f91a4b8e8960373322a410cff
6770,力積電,material_info,第51款,澄清媒體有關本公司之報導,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 23:53:49,,,2026-07-02,false,true,sha256:402a509fd9767a91bc7d9c7adde3c9ac98e757f1b00a9b22a12e058830d50c75
2317,鴻海,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:6a91222ed4d3cd3d7f4a3702d2d329fd92fab7e364c6000504b4c14540b8dad8
3090,日電貿,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-02 00:00:00,2026-07-02,,2026-07-02,true,false,sha256:0b43bf1b52c844f742fe816c8d89f90b2e3ab1265b93af3ece2c2045ee2dd459
3131,弘塑,attention,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣335元(第十一款),最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣335元(第十一款),TPEx attention securities,https://www.tpex.org.tw/openapi/v1/tpex_trading_warning_information,2026-07-02 00:00:00,,,2026-07-02,true,false,sha256:f736b1363d69dee987e2afeca8666efa8352cbf50665d384e3cefdccdecdcfc5
